episode_id,scene_id,distance_to_goal_1,success_1,spl_1,num_steps_1,distance_to_goal_2,success_2,spl_2,num_steps_2
131,data/scene_datasets/mp3d/ARNzJeq3xxb/ARNzJeq3xxb.glb,11.105195999145508,0.0,0.0,500.0,0.160904660820961,1.0,0.9166498481177878,125.0
818,data/scene_datasets/mp3d/q9vSo1VnCiC/q9vSo1VnCiC.glb,15.658777236938477,0.0,0.0,500.0,0.04866863042116165,1.0,0.6958980524860252,287.0
913,data/scene_datasets/mp3d/wc2JMjhGNzB/wc2JMjhGNzB.glb,0.2240230292081833,0.0,0.0,71.0,0.06495635956525803,1.0,0.9296650663969231,76.0
762,data/scene_datasets/mp3d/pa4otMbVnkk/pa4otMbVnkk.glb,2.595531463623047,0.0,0.0,500.0,0.055164922028779984,1.0,0.3936063271789366,440.0
662,data/scene_datasets/mp3d/gxdoqLR6rwA/gxdoqLR6rwA.glb,16.882539749145508,0.0,0.0,500.0,0.09956122934818268,1.0,0.8529448574739104,168.0
516,data/scene_datasets/mp3d/fzynW3qQPVF/fzynW3qQPVF.glb,20.320560455322266,0.0,0.0,500.0,0.10468937456607819,1.0,0.5051051241467297,383.0
150,data/scene_datasets/mp3d/ARNzJeq3xxb/ARNzJeq3xxb.glb,7.111372470855713,0.0,0.0,500.0,0.13971103727817535,1.0,0.8930883910107039,76.0
426,data/scene_datasets/mp3d/YFuZgdQ5vWj/YFuZgdQ5vWj.glb,7.681631565093994,0.0,0.0,500.0,0.1513078659772873,1.0,0.9615710564811587,76.0
659,data/scene_datasets/mp3d/gxdoqLR6rwA/gxdoqLR6rwA.glb,5.149889945983887,0.0,0.0,500.0,0.08519502729177475,1.0,0.8313576656248711,115.0
815,data/scene_datasets/mp3d/q9vSo1VnCiC/q9vSo1VnCiC.glb,13.149740219116211,0.0,0.0,500.0,0.059520673006772995,1.0,0.20868561120473653,477.0
113,data/scene_datasets/mp3d/ARNzJeq3xxb/ARNzJeq3xxb.glb,7.567731857299805,0.0,0.0,500.0,0.0947161614894867,1.0,0.6725536520991143,199.0
656,data/scene_datasets/mp3d/gxdoqLR6rwA/gxdoqLR6rwA.glb,0.4345996081829071,0.0,0.0,500.0,0.043830763548612595,1.0,0.6016276080582386,284.0
